filepath,country,model_version,detection_index,category,label,conf,bbox_x,bbox_y,bbox_w,bbox_h
input/semana30/camera08/IMG_0164.JPG,GT,4.0.1a,5,2,human,0.0136,0.5487,0.0026,0.1455,0.9061
input/semana30/camera08/IMG_0164.JPG,GT,4.0.1a,6,2,human,0.0113,0.7932,0.3737,0.0454,0.2467
input/semana30/camera08/IMG_0165.JPG,GT,4.0.1a,1,2,human,0.883,0.2798,0.0013,0.7199,0.9504
input/semana30/camera08/IMG_0165.JPG,GT,4.0.1a,2,2,human,0.7184,0.5629,0.002,0.3315,0.668
input/semana30/camera08/IMG_0165.JPG,GT,4.0.1a,3,2,human,0.0735,0.8508,0.0,0.1492,0.7877
input/semana30/camera08/IMG_0166.JPG,GT,4.0.1a,1,2,human,0.9316,0.2891,0.0,0.7109,0.9537
input/semana30/camera09/IMG_0001.JPG,GT,4.0.1a,1,1,animal,0.8738,0.2604,0.4634,0.1786,0.1139
input/semana30/camera09/IMG_0002.JPG,GT,4.0.1a,1,1,animal,0.9206,0.801,0.456,0.1612,0.0954
input/semana30/camera09/IMG_0003.JPG,GT,4.0.1a,1,1,animal,0.7168,0.2232,0.4852,0.1167,0.1162
input/semana30/camera09/IMG_0005.JPG,GT,4.0.1a,1,1,animal,0.9636,0.4365,0.3481,0.2268,0.2699
input/semana30/camera09/IMG_0006.JPG,GT,4.0.1a,1,1,animal,0.9685,0.0,0.4741,0.2701,0.3644
input/semana30/camera09/IMG_0006.JPG,GT,4.0.1a,2,1,animal,0.9211,0.9279,0.2949,0.0721,0.2426
input/semana30/camera09/IMG_0007.JPG,GT,4.0.1a,1,1,animal,0.9251,0.519,0.4157,0.137,0.1491
input/semana30/camera09/IMG_0008.JPG,GT,4.0.1a,1,1,animal,0.9069,0.7758,0.3894,0.0924,0.1532
input/semana30/camera09/IMG_0008.JPG,GT,4.0.1a,2,1,animal,0.0351,0.799,0.45,0.0695,0.0944
input/semana30/camera09/IMG_0009.JPG,GT,4.0.1a,1,1,animal,0.9866,0.1753,0.0014,0.4346,0.8856
input/semana30/camera09/IMG_0010.JPG,GT,4.0.1a,1,1,animal,0.9871,0.3167,0.0014,0.6833,0.9537
input/semana30/camera09/IMG_0011.JPG,GT,4.0.1a,1,1,animal,0.9575,0.0,0.0014,0.4214,0.831
input/semana30/camera09/IMG_0011.JPG,GT,4.0.1a,2,1,animal,0.9259,0.5896,0.0148,0.2096,0.3037
input/semana30/camera09/IMG_0012.JPG,GT,4.0.1a,1,1,animal,0.9551,0.0,0.0023,0.1857,0.7681
input/semana30/camera09/IMG_0012.JPG,GT,4.0.1a,2,1,animal,0.946,0.6,0.0125,0.2107,0.3125
input/semana30/camera09/IMG_0013.JPG,GT,4.0.1a,1,1,animal,0.9649,0.6479,0.0009,0.3521,0.7208
input/semana30/camera09/IMG_0013.JPG,GT,4.0.1a,2,1,animal,0.9173,0.0,0.0028,0.093,0.8847
input/semana30/camera09/IMG_0013.JPG,GT,4.0.1a,3,1,animal,0.1879,0.6573,0.0352,0.0294,0.125
input/semana30/camera09/IMG_0013.JPG,GT,4.0.1a,4,1,animal,0.0221,0.6549,0.0329,0.1833,0.337
input/semana30/camera09/IMG_0014.JPG,GT,4.0.1a,1,1,animal,0.9396,0.544,0.0014,0.2664,0.413
input/semana30/camera09/IMG_0014.JPG,GT,4.0.1a,2,1,animal,0.2961,0.1977,0.1102,0.0852,0.1296
input/semana30/camera09/IMG_0014.JPG,GT,4.0.1a,3,1,animal,0.0192,0.2151,0.1102,0.0505,0.0875
input/semana30/camera09/IMG_0017.JPG,GT,4.0.1a,1,1,animal,0.969,0.6331,0.0019,0.3669,0.7917
input/semana30/camera09/IMG_0017.JPG,GT,4.0.1a,2,1,animal,0.9346,0.3503,0.0315,0.1378,0.2625
input/semana30/camera09/IMG_0017.JPG,GT,4.0.1a,3,1,animal,0.0397,0.343,0.0986,0.0398,0.1569
input/semana30/camera09/IMG_0017.JPG,GT,4.0.1a,4,1,animal,0.0324,0.9641,0.0199,0.0359,0.7644
input/semana30/camera09/IMG_0017.JPG,GT,4.0.1a,5,1,animal,0.0223,0.9648,0.0241,0.0352,0.1894
input/semana30/camera09/IMG_0017.JPG,GT,4.0.1a,6,1,animal,0.0111,0.3422,0.0981,0.0263,0.0981
input/semana30/camera09/IMG_0018.JPG,GT,4.0.1a,1,1,animal,0.9647,0.6643,0.0028,0.3357,0.7838
input/semana30/camera09/IMG_0018.JPG,GT,4.0.1a,2,1,animal,0.955,0.3594,0.0306,0.1234,0.2634
input/semana30/camera09/IMG_0018.JPG,GT,4.0.1a,3,1,animal,0.8066,0.3271,0.0579,0.0435,0.188
input/semana30/camera09/IMG_0018.JPG,GT,4.0.1a,4,1,animal,0.0889,0.3232,0.0481,0.101,0.2111
input/semana30/camera09/IMG_0018.JPG,GT,4.0.1a,5,1,animal,0.0697,0.6651,0.0556,0.0359,0.2435
input/semana30/camera09/IMG_0019.JPG,GT,4.0.1a,1,1,animal,0.9779,0.5154,0.0005,0.4846,0.9333
input/semana30/camera09/IMG_0019.JPG,GT,4.0.1a,2,1,animal,0.9554,0.4044,0.0185,0.1914,0.2829
input/semana30/camera09/IMG_0019.JPG,GT,4.0.1a,3,1,animal,0.7909,0.656,0.0435,0.0883,0.1731
input/semana30/camera09/IMG_0020.JPG,GT,4.0.1a,1,1,animal,0.9693,0.0,0.0005,1.0,0.9537
input/semana30/camera09/IMG_0020.JPG,GT,4.0.1a,2,1,animal,0.0734,0.794,0.0028,0.206,0.8694
input/semana30/camera09/IMG_0021.JPG,GT,4.0.1a,1,1,animal,0.9799,0.0,0.0,0.8747,0.9542
input/semana30/camera09/IMG_0022.JPG,GT,4.0.1a,1,1,animal,0.9816,0.5693,0.0,0.4307,0.9546
input/semana30/camera09/IMG_0022.JPG,GT,4.0.1a,2,1,animal,0.0418,0.8068,0.3458,0.1932,0.5574
input/semana30/camera09/IMG_0023.JPG,GT,4.0.1a,1,1,animal,0.9793,0.5612,0.0005,0.4388,0.9528
input/semana30/camera09/IMG_0024.JPG,GT,4.0.1a,1,1,animal,0.0458,0.4122,0.3157,0.0177,0.0292
input/semana30/camera09/IMG_0025.JPG,GT,4.0.1a,1,1,animal,0.9631,0.1792,0.0009,0.5836,0.5792
